#0,100,0,100,100
75.463,17.933
53.546,93.076
92.605,79.636
26.905,42.875
57.042,24.127
69.123,13.764
99.411,14.25
27.397,45.139
23.341,3.473
28.875,83.288
3.96,28.897
58.795,72.079
81.636,56.66
64.227,70.457
73.683,61.204
69.077,75.878
83.915,66.876
54.839,88.975
50.615,11.074
9.826,64.243
76.721,40.171
22.678,75.391
57.631,41.052
84.937,64.409
95.496,69.734
75.188,13.684
61.674,58.694
32.56,10.952
6.753,33.83
44.538,53.366
89.153,46.393
67.666,39.561
29.029,56.499
96.055,45.341
79.81,77.538
29.17,57.669
42.197,15.466
85.618,24.499
59.979,7.988
63.294,90.635
44.883,33.926
72.543,69.079
40.018,87.11
53.776,12.225
44.559,19.007
29.937,3.009
49.25,2.663
22.565,91.629
48.785,29.7
54.111,83.881
74.795,12.392
48.552,22.053
27.903,38.811
68.307,55.323
65.606,21.212
4.249,81.991
18.545,21.611
57.21,87.876
37.942,84.973
33.117,25.124
54.743,4.023
87.326,72.342
98.467,99.175
56.29,51.372
23.552,20.17
33.302,11.391
52.574,70.336
27.004,82.808
66.337,79.96
93.216,38.999
49.832,46.97
75.028,9.17
42.487,70.131
4.907,81.697
62.972,74.565
40.766,95.732
83.414,94.051
17.881,70.141
38.513,54.068
15.271,22.176
52.449,30.915
42.563,73.233
36.313,27.301
76.678,8.359
16.929,51.96
89.574,75.802
87.482,6.411
30.624,98.138
84.178,97.49
87.355,60.322
99.182,20.061
24.993,99.508
60.875,34.427
78.516,22.712
76.757,31.509
82.728,26.242
84.856,50.832
64.742,44.148
75.721,91.987
43.148,8.398
