#随机生成x范围为0-10,y范围为0-10的不重复数据点50个，并分成5簇
4.629,5.691,2
2.658,4.497,1
1.985,3.156,1
6.509,7.613,2
1.145,8.353,4
2.824,5.137,1
8.71,8.268,5
5.753,6.875,2
2.405,3.996,1
2.958,1.481,1
5.697,6.284,2
6.313,6.852,2
1.527,1.436,1
9.367,2.646,3
9.703,7.246,5
4.772,6.42,2
7.954,9.907,5
8.388,2.003,3
9.778,4.138,3
9.126,0.781,3
6.923,0.014,3
1.742,5.7,1
9.098,3.461,3
8.684,8.67,5
4.207,4.241,1
6.062,2.377,3
1.347,3.681,1
8.266,8.632,5
9.822,8.91,5
0.593,9.452,4
5.679,1.144,3
8.757,9.972,5
7.805,0.857,3
1.627,2.597,1
8.997,5.993,5
4.765,1.507,1
5.832,2.615,3
1.207,1.425,1
4.758,6.264,2
8.032,6.027,5
2.7,7.797,4
4.505,8.633,2
5.436,1.418,3
7.876,8.712,5
2.047,2.104,1
4.483,9.681,4
2.532,3.918,1
2.554,1.201,1
0.633,9.08,4
9.772,4.995,5
