#随机生成x范围为0-10,y范围为0-10的不重复数据点100个，并分成6簇
6.425,2.334,2
7.315,9.248,3
8.883,5.026,6
2.827,0.93,4
2.481,6.799,1
0.499,0.442,4
3.053,4.399,1
5.358,6.598,1
8.399,5.74,3
1.159,7.737,5
6.702,3.163,6
6.713,4.965,6
2.105,3.749,4
1.407,0.364,4
8.702,8.348,3
4.558,8.361,1
3.935,6.052,1
4.779,4.491,1
8.075,8.19,3
0.703,8.83,5
9.065,9.652,3
8.982,9.44,3
8.682,0.163,2
8.85,3.328,6
0.601,9.821,5
6.837,7.46,3
6.054,0.829,2
5.441,4.248,6
8.433,9.644,3
2.644,6.088,1
0.311,8.859,5
0.905,4.368,1
8.713,6.883,3
3.675,8.834,5
7.422,8.514,3
2.459,1.644,4
9.204,7.977,3
8.228,5.791,3
8.016,1.163,2
4.915,5.368,1
0.481,9.206,5
2.607,4.84,1
6.087,7.868,3
9.327,9.116,3
9.97,6.646,3
7.883,0.236,2
6.08,4.062,6
7.078,0.512,2
7.422,5.989,3
4.085,7.961,1
8.867,5.347,6
4.859,1.622,4
6.578,7.232,3
2.293,7.492,5
0.792,9.461,5
5.819,6.796,3
6.743,2.048,2
9.271,2.254,2
4.504,5.834,1
5.222,7.271,1
5.458,4.236,6
1.756,4.031,1
6.65,7.764,3
9.566,6.09,3
4.398,2.342,4
0.504,5.76,1
1.73,6.845,1
5.072,7.067,1
1.53,9.715,5
4.985,0.404,4
2.457,2.362,4
8.621,6.532,3
5.138,6.876,1
1.194,7.555,5
6.303,6.996,3
4.205,0.659,4
7.663,2.376,2
8.682,4.981,6
9.582,1.355,2
0.565,5.825,1
8.133,8.748,3
6.733,2.763,6
3.072,9.37,5
7.646,0.022,2
7.963,0.957,2
5.899,0.201,2
3.27,3.574,4
2.985,4.651,1
0.962,7.806,5
5.547,9.358,3
3.261,0.386,4
7.532,0.855,2
9.871,5.939,3
4.627,1.242,4
7.004,7.163,3
2.293,8.552,5
5.807,3.831,6
2.061,5.559,1
1.377,8.876,5
2.048,2.78,4
