#随机生成x范围为0-10,y范围为0-10的不重复数据点50个，并分成3簇
2.677,1.339,第三类
3.021,3.277,第二类
3.925,2.86,第三类
1.028,5.714,第二类
5.161,7.452,第一类
8.933,4.177,第三类
7.5,8.436,第三类
8.207,8.319,第二类
4.744,2.447,第一类
3.092,0.159,第二类
3.711,3.301,第一类
7.942,9.014,第三类
4.47,9.734,第二类
1.164,1.078,第三类
4.301,9.549,第二类
8.595,6.518,第一类
6.542,1.944,第一类
2.68,2.068,第二类
0.648,3.158,第二类
6.736,1.159,第一类
7.488,7.307,第三类
1.77,6.51,第二类
8.247,9.571,第一类
7.729,6.775,第三类
6.913,8.131,第三类
8.341,2.955,第一类
9.677,4.658,第三类
6.805,8.395,第一类
0.96,1.643,第一类
3.078,7.053,第二类
6.833,4.545,第一类
4.614,8.302,第二类
4.23,5.109,第三类
4.18,0.218,第一类
1.261,3.094,第一类
3.063,0.406,第二类
1.435,2.477,第三类
9.918,3.674,第一类
3.206,1.822,第二类
3.123,7.507,第三类
6.12,1.626,第一类
5.291,4.954,第二类
8.653,1.164,第三类
7.165,9.16,第三类
0.224,2.348,第一类
2.131,8.793,第二类
9.875,9.055,第一类
6.729,8.715,第一类
4.235,6.096,第三类
4.103,3.203,第一类
