#随机生成x范围为0-10,y范围为0-10的不重复数据点50个，并分成6簇
0.415,2.339,第六类
3.05,5.834,第一类
5.824,8.288,第一类
4.812,7.253,第一类
2.977,7.055,第一类
2.083,1.045,第二类
1.32,4.11,第六类
8.785,6.078,第三类
2.676,5.44,第一类
5.924,1.659,第五类
5.304,6.059,第一类
8.868,7.223,第三类
3.569,2.716,第二类
4.928,7.393,第一类
2.2,6.637,第一类
4.28,5.512,第一类
6.766,8.463,第三类
7.614,6.068,第三类
2.387,8.694,第四类
8.651,5.619,第三类
9.732,6.622,第三类
2.367,4.491,第六类
3.188,9.176,第四类
9.773,5.116,第三类
0.201,1.296,第六类
7.116,4.008,第三类
4.996,7.209,第一类
7.422,0.346,第五类
8.659,7.869,第三类
1.514,3.523,第六类
4.807,6.27,第一类
1.663,8.284,第四类
2.014,9.79,第四类
8.322,3.569,第五类
3.376,7.155,第一类
6.252,6.955,第三类
2.592,6.085,第一类
6.599,0.64,第五类
7.963,0.277,第五类
3.065,5.637,第一类
8.864,7.684,第三类
3.335,4.887,第一类
1.02,5.397,第六类
3.994,0.946,第二类
0.889,1.91,第六类
6.43,0.415,第五类
3.228,5.738,第一类
8.922,6.323,第三类
3.221,9.86,第四类
0.751,0.416,第二类
